Date,Location,temperature_2m_max,temperature_2m_min
2008-07-01,Melbourne,13.3605,10.2605
2008-07-02,Melbourne,13.0605,7.7605
2008-07-03,Melbourne,12.710501,7.8104997
2008-07-04,Melbourne,11.910501,2.4105
2008-07-05,Melbourne,14.6105,9.460501
2008-07-06,Melbourne,14.3605,10.0105
2008-07-07,Melbourne,11.1105,5.9105
2008-07-08,Melbourne,10.0605,2.5605001
2008-07-09,Melbourne,12.0105,7.6605
2008-07-10,Melbourne,10.660501,7.3104997
2008-07-11,Melbourne,11.6105,5.4105
2008-07-12,Melbourne,9.960501,7.7105
2008-07-13,Melbourne,12.8605,7.2105
2008-07-14,Melbourne,16.6105,5.7105
2008-07-15,Melbourne,14.3105,5.3605
2008-07-16,Melbourne,13.3105,8.5605
2008-07-17,Melbourne,13.5105,7.5105
2008-07-18,Melbourne,11.160501,5.4105
2008-07-19,Melbourne,13.210501,9.2605
2008-07-20,Melbourne,11.8605,8.3605
2008-07-21,Melbourne,11.0105,6.7605
2008-07-22,Melbourne,11.0605,4.5105
2008-07-23,Melbourne,11.2605,3.3605
2008-07-24,Melbourne,13.5605,1.3105
2008-07-25,Melbourne,14.0605,5.1605
2008-07-26,Melbourne,14.0605,5.2105
2008-07-27,Melbourne,9.3605,5.0105
2008-07-28,Melbourne,11.460501,4.9105
2008-07-29,Melbourne,12.660501,4.3104997
2008-07-30,Melbourne,13.8605,7.9605
2008-07-31,Melbourne,14.710501,9.2605
2008-08-01,Melbourne,12.0605,8.710501
2008-08-02,Melbourne,12.460501,5.8605
2008-08-03,Melbourne,13.1105,8.3605
2008-08-04,Melbourne,13.5105,4.8605
2008-08-05,Melbourne,12.0605,4.1105
2008-08-06,Melbourne,14.660501,4.4105
2008-08-07,Melbourne,13.160501,4.8605
2008-08-08,Melbourne,13.0105,3.9605
2008-08-09,Melbourne,12.6105,5.1105
2008-08-10,Melbourne,9.710501,6.8104997
2008-08-11,Melbourne,11.0105,6.1605
2008-08-12,Melbourne,11.8105,5.2105
2008-08-13,Melbourne,11.460501,8.0105
2008-08-14,Melbourne,12.3105,9.1105
2008-08-15,Melbourne,12.3105,7.8104997
2008-08-16,Melbourne,10.7605,7.2105
2008-08-17,Melbourne,11.160501,6.0105
2008-08-18,Melbourne,11.3105,5.7605
2008-08-19,Melbourne,14.160501,9.8105
2008-08-20,Melbourne,14.710501,7.9605
2008-08-21,Melbourne,9.0105,5.4105
2008-08-22,Melbourne,9.8605,2.7105
2008-08-23,Melbourne,11.7605,7.6105
2008-08-24,Melbourne,12.5105,1.2105
2008-08-25,Melbourne,13.410501,7.8605
2008-08-26,Melbourne,15.660501,6.3605
2008-08-27,Melbourne,13.1105,7.6605
2008-08-28,Melbourne,13.410501,5.5105
2008-08-29,Melbourne,16.9605,6.8605
2008-08-30,Melbourne,16.0105,12.2605
2008-08-31,Melbourne,14.0605,6.8104997
2008-09-01,Melbourne,14.410501,8.6105
2008-09-02,Melbourne,14.410501,6.2105
2008-09-03,Melbourne,13.0105,2.2105
2008-09-04,Melbourne,16.0605,4.3104997
2008-09-05,Melbourne,16.6605,4.8605
2008-09-06,Melbourne,16.5105,8.210501
2008-09-07,Melbourne,13.8105,7.9105
2008-09-08,Melbourne,11.910501,6.8104997
2008-09-09,Melbourne,11.910501,3.4605
2008-09-10,Melbourne,16.7605,9.3605
2008-09-11,Melbourne,17.8605,11.910501
2008-09-12,Melbourne,21.6605,13.5105
2008-09-13,Melbourne,22.9605,14.5105
2008-09-14,Melbourne,16.6105,12.0605
2008-09-15,Melbourne,15.3605,7.3605
2008-09-16,Melbourne,11.960501,3.6105
2008-09-17,Melbourne,16.9105,8.7605
2008-09-18,Melbourne,18.1105,13.1105
2008-09-19,Melbourne,22.6605,8.710501
2008-09-20,Melbourne,16.560501,6.9605
2008-09-21,Melbourne,18.560501,13.8105
2008-09-22,Melbourne,22.3605,6.2105
2008-09-23,Melbourne,15.410501,6.5604997
2008-09-24,Melbourne,16.0605,6.2605
2008-09-25,Melbourne,21.060501,14.2605
2008-09-26,Melbourne,25.0105,10.2605
2008-09-27,Melbourne,26.7105,10.8105
2008-09-28,Melbourne,18.560501,7.9105
2008-09-29,Melbourne,12.660501,6.8605
2008-09-30,Melbourne,15.160501,5.3605
2008-10-01,Melbourne,20.310501,12.0105
2008-10-02,Melbourne,23.1605,8.6105
2008-10-03,Melbourne,24.310501,10.3605
2008-10-04,Melbourne,14.2605,3.8105001
2008-10-05,Melbourne,20.7105,9.1105
2008-10-06,Melbourne,12.8605,8.0105
2008-10-07,Melbourne,14.210501,8.2605
2008-10-08,Melbourne,15.960501,5.3104997
2008-10-09,Melbourne,17.8605,4.9105
2008-10-10,Melbourne,22.6605,7.4605
2008-10-11,Melbourne,24.9105,13.1105
2008-10-12,Melbourne,27.9605,16.1605
2008-10-13,Melbourne,17.6105,8.0105
2008-10-14,Melbourne,15.160501,8.8105
2008-10-15,Melbourne,16.4605,10.8105
2008-10-16,Melbourne,20.060501,8.160501
2008-10-17,Melbourne,22.060501,10.2605
2008-10-18,Melbourne,29.560501,14.3105
2008-10-19,Melbourne,17.7605,10.160501
2008-10-20,Melbourne,15.5105,10.910501
2008-10-21,Melbourne,15.460501,9.6105
2008-10-22,Melbourne,14.960501,4.7105
2008-10-23,Melbourne,18.6105,7.4105
2008-10-24,Melbourne,24.7605,13.660501
2008-10-25,Melbourne,29.060501,21.9105
2008-10-26,Melbourne,29.3605,13.710501
2008-10-27,Melbourne,19.9105,11.710501
2008-10-28,Melbourne,18.1105,9.660501
2008-10-29,Melbourne,22.6605,12.960501
2008-10-30,Melbourne,30.4105,12.5105
2008-10-31,Melbourne,20.2105,11.8605
2008-11-01,Melbourne,21.4105,8.8105
2008-11-02,Melbourne,28.560501,13.460501
2008-11-03,Melbourne,17.4105,10.2605
2008-11-04,Melbourne,16.0105,7.4605
2008-11-05,Melbourne,24.2105,11.3105
2008-11-06,Melbourne,21.6105,11.0105
2008-11-07,Melbourne,20.4605,12.1105
2008-11-08,Melbourne,17.9605,11.660501
2008-11-09,Melbourne,23.8605,9.7605
2008-11-10,Melbourne,22.9605,11.1105
2008-11-11,Melbourne,29.1105,13.460501
2008-11-12,Melbourne,32.2105,19.7105
2008-11-13,Melbourne,31.7605,13.5105
2008-11-14,Melbourne,16.810501,10.3605
2008-11-15,Melbourne,19.560501,10.3605
2008-11-16,Melbourne,15.5605,9.5605
2008-11-17,Melbourne,18.3605,8.910501
2008-11-18,Melbourne,18.6105,13.0105
2008-11-19,Melbourne,21.4605,13.8605
2008-11-20,Melbourne,16.1605,9.910501
2008-11-21,Melbourne,20.310501,7.8104997
2008-11-22,Melbourne,14.910501,9.910501
2008-11-23,Melbourne,15.7605,11.7605
2008-11-24,Melbourne,16.310501,10.3105
2008-11-25,Melbourne,23.9105,9.8105
2008-11-26,Melbourne,27.4605,18.2605
2008-11-27,Melbourne,28.1105,13.7605
2008-11-28,Melbourne,19.560501,12.2605
2008-11-29,Melbourne,18.4605,9.960501
2008-11-30,Melbourne,23.0105,11.3105
2008-12-01,Melbourne,19.0105,10.160501
2008-12-02,Melbourne,20.1605,12.960501
2008-12-03,Melbourne,18.2105,8.1105
2008-12-04,Melbourne,23.7605,17.1605
2008-12-05,Melbourne,29.060501,13.960501
2008-12-06,Melbourne,25.2105,11.2605
2008-12-07,Melbourne,17.5105,10.8105
2008-12-08,Melbourne,21.7105,10.210501
2008-12-09,Melbourne,20.0105,12.410501
2008-12-10,Melbourne,17.6105,10.1105
2008-12-11,Melbourne,22.4105,12.7605
2008-12-12,Melbourne,20.310501,15.710501
2008-12-13,Melbourne,16.2605,12.3605
2008-12-14,Melbourne,17.560501,11.910501
2008-12-15,Melbourne,18.1605,11.910501
2008-12-16,Melbourne,18.4605,13.1105
2008-12-17,Melbourne,18.810501,12.660501
2008-12-18,Melbourne,18.1105,10.7605
2008-12-19,Melbourne,15.7605,10.460501
2008-12-20,Melbourne,20.2105,9.210501
2008-12-21,Melbourne,27.2605,20.1605
2008-12-22,Melbourne,31.5105,15.5105
